,file_name,size,time,peak_spped,valley_speed,mean_speed,peak_area_before,peak_std_area_before,peak_fre_before,peak_area_after,peak_std_area_after,peak_fre_after,valley_area_before,valley_std_area_before,valley_fre_before,valley_area_after,valley_std_area_after,valley_fre_after
0,left_bare_01.hkl,1.01,52.33,47.16,52.17,49.665,94.34,7.92,1744.9492038371022,95.76,3.97,103.95222555586882,6.3,3.97,1190.3784067735216,6.29,3.97,44.886248466295214
1,left_bare_02.hkl,0.89,46.29,58.61,58.71,58.66,92.47,6.17,16960.768123523274,99.25,4.26,225.33698914814968,4.94,4.26,15856.002714787111,5.03,4.26,67.19930704915278
2,left_bare_03.hkl,1.02,55.17,51.84,51.94,51.89,103.72,10.73,21255.0063831237,99.74,5.68,148.87366424097675,5.7,5.68,20010.897902943983,5.39,5.68,58.2107740686613
3,left_bare_04.hkl,0.99,51.5,51.07,52.93,52.0,89.07,5.69,23896.802257939813,96.12,4.37,208.00960701700657,5.6,4.37,21047.27501710423,6.11,4.37,142.7963641492162
4,left_bare_05.hkl,1.15,59.63,48.08,48.87,48.474999999999994,90.37,5.36,17170.62033289793,99.5,4.04,219.98921248564136,5.0,4.04,13391.64293109528,5.48,4.04,142.32248895800188
5,left_bare_06.hkl,1.07,55.82,49.76,45.72,47.739999999999995,91.42,6.9,14186.598136010125,98.43,6.29,149.96305343659023,7.66,6.29,11741.672514477537,7.27,6.29,187.70170047435712
6,left_bare_07.hkl,1.01,51.85,54.61,51.2,52.905,97.16,8.74,24246.1942692619,102.05,5.87,132.99817671158672,7.91,5.87,26947.19961773536,7.18,5.87,137.8310819706289
7,left_bare_08.hkl,0.92,47.19,49.48,52.84,51.16,92.23,4.87,11327.371655174305,98.86,4.47,131.21000230355466,5.56,4.47,10684.096648196492,5.81,4.47,92.53726639968734
8,left_bare_09.hkl,0.74,38.03,54.06,54.62,54.34,89.6,6.87,14204.791097509604,98.83,6.09,137.12410515716678,5.34,6.09,13424.362657540913,5.75,6.09,110.7898540786961
9,left_bare_10.hkl,0.86,43.85,49.09,52.37,50.730000000000004,94.61,7.26,9163.134779513934,102.59,5.83,104.7245838458299,5.32,5.83,8605.20593481864,5.7,5.83,92.70460955616927
10,left_bare_11.hkl,0.8,41.11,50.38,48.67,49.525000000000006,90.9,6.7,3754.8587906377747,96.22,4.54,96.43312807323035,8.51,4.54,1995.9334260657863,8.37,4.54,111.48760483860343
11,left_bare_12.hkl,0.71,36.06,53.83,52.85,53.34,85.58,5.49,2404.8698003817913,98.11,4.59,79.6033899680718,8.31,4.59,1966.6635690718283,8.37,4.59,90.18392698474875
12,left_bare_13.hkl,0.79,40.22,49.45,51.6,50.525000000000006,93.25,6.68,3779.4299397227232,101.63,6.36,63.52472820912775,5.61,6.36,2504.449440866599,6.31,6.36,86.06079453945993
13,left_bare_14.hkl,0.82,42.78,49.69,51.36,50.525,92.39,6.21,4861.104234345117,101.03,5.42,64.27216876156355,5.45,5.42,3618.026270424695,5.9,5.42,57.99878775801343
14,left_bare_15.hkl,1.05,54.24,49.12,47.21,48.165,91.47,4.88,7612.986753904486,104.05,4.81,90.26009395845321,7.19,4.81,1906.1768939316607,7.23,4.81,141.4051212671655
15,left_bare_16.hkl,0.74,37.93,50.8,47.95,49.375,89.21,5.94,3725.1208217729713,103.04,4.75,99.69344993294224,7.65,4.75,1538.5789654817916,7.58,4.75,116.26971910589359
16,left_bare_17.hkl,0.77,38.65,51.08,54.02,52.55,89.02,4.28,4427.777038678529,102.18,4.37,128.27704703646506,4.7,4.37,1839.6448884995846,5.53,4.37,85.0536959527436
17,left_bare_18.hkl,0.73,37.08,50.36,49.32,49.84,93.48,5.66,5506.905300453213,103.09,4.68,98.2549511746973,7.61,4.68,3203.001518942833,7.41,4.68,106.76624726693962
18,left_bare_19.hkl,0.78,39.4,60.86,64.0,62.43,86.17,5.34,8540.837508111017,102.3,5.43,148.76212778545965,5.21,5.43,6568.555082592625,5.61,5.43,123.31560526621108
19,left_bare_20.hkl,0.84,42.38,51.99,50.34,51.165000000000006,86.33,3.75,4439.854184382215,101.86,3.71,99.48613585558319,7.51,3.71,2644.287774765103,7.94,3.71,79.6091129570936
20,left_bare_21.hkl,0.91,48.89,56.78,56.05,56.415,30.36,3.38,284231.4679852893,98.03,7.9,172.76624277904455,1.94,7.9,170249.7846761528,4.96,7.9,497.2685771608056
21,left_bare_22.hkl,0.98,52.79,51.55,50.92,51.235,136.4,15.44,34055.94370494469,102.22,7.06,76.4871931941677,10.89,7.06,24706.2535775724,7.21,7.06,87.00455440906359
22,left_bare_23.hkl,0.76,38.63,53.2,54.57,53.885000000000005,19.25,1.83,52915.87798794385,91.02,4.39,57.363231878610144,1.11,4.39,49728.22835622584,4.3,4.39,696.1388366543322
23,left_bare_24.hkl,0.85,43.52,63.05,54.87,58.959999999999994,47.64,4.26,224907.99768167423,100.31,6.05,137.85379214273206,4.72,6.05,180736.05656081237,8.2,6.05,250.0386258071592
24,left_bare_25.hkl,0.69,35.39,54.16,53.74,53.95,19.47,3.84,44159.13190791315,100.23,9.54,60.05003918887206,1.31,9.54,33934.240823746935,6.32,9.54,306.69180315627494
25,left_bare_26.hkl,0.75,39.53,51.98,55.09,53.535,34.91,2.63,86689.9463885829,109.71,6.17,128.23923167056523,2.47,6.17,44509.880513902855,6.15,6.17,276.42398517268333
26,left_bare_27.hkl,0.79,39.67,60.7,62.6,61.650000000000006,36.23,3.59,27511.79569032647,105.66,7.48,74.65157224491789,1.69,7.48,27695.868336512744,4.42,7.48,92.34587925967419
