,file_name,size,time,peak_speed,valley_speed,mean_speed,extend
0,pose_right_bare_01.hkl,0.23,43.5,31.44,32.4,31.92,
1,pose_right_bare_02.hkl,0.26,49.27,42.46,35.37,38.91,
2,pose_right_bare_03.hkl,0.22,41.9,37.27,37.77,37.52,
3,pose_right_bare_04.hkl,0.2,39.48,35.6,35.71,35.66,
4,pose_right_bare_05.hkl,0.2,39.84,35.7,35.74,35.72,
5,pose_right_bare_06.hkl,0.21,43.27,37.79,38.54,38.16,
6,pose_right_bare_07.hkl,0.19,37.97,33.25,33.14,33.2,
7,pose_right_bare_08.hkl,0.19,37.7,37.81,38.04,37.92,
8,pose_right_bare_09.hkl,0.21,40.18,37.99,37.77,37.88,
9,pose_right_bare_10.hkl,0.2,38.19,35.56,35.25,35.41,
10,pose_right_small_01.hkl,0.34,68.96,27.87,28.28,28.08,
11,pose_right_small_02.hkl,0.23,42.06,35.61,36.08,35.84,
12,pose_right_small_03.hkl,0.16,30.7,28.91,30.08,29.49,
13,pose_right_small_04.hkl,0.19,35.93,37.56,37.83,37.7,
14,pose_right_small_05.hkl,0.19,35.94,39.11,39.15,39.13,
15,pose_right_small_06.hkl,0.19,35.93,36.56,37.07,36.81,
16,pose_right_small_07.hkl,0.24,45.29,34.8,34.89,34.84,
17,pose_right_small_08.hkl,0.22,44.11,35.4,35.74,35.57,
18,pose_right_small_09.hkl,0.24,46.76,33.3,33.48,33.39,
19,pose_right_small_10.hkl,0.19,35.31,45.52,45.72,45.62,
20,pose_right_big_01.hkl,0.21,40,29.35,27.53,28.44,
21,pose_right_big_02.hkl,0.21,39.47,26.93,27.34,27.13,
22,pose_right_big_03.hkl,0.21,38.74,28.93,28.74,28.84,
23,pose_right_big_04.hkl,0.2,38.5,34.91,35.98,35.44,
24,pose_right_big_05.hkl,0.2,37.58,32.59,31.53,32.06,
25,pose_right_big_06.hkl,0.22,41.28,33.2,32.93,33.06,
26,pose_right_big_07.hkl,0.25,48.72,32.65,31.04,31.84,
27,pose_right_big_08.hkl,0.22,42.01,33.5,31.91,32.7,
28,pose_right_big_09.hkl,0.19,35.67,35.2,35.2,35.2,
29,pose_right_big_10.hkl,0.19,36.38,33.59,33.55,33.57,
